Methods,SVHN-FPR,SVHN-AUROC,places365-FPR,places365-AUROC,LSUN-FPR,LSUN-AUROC,iSUN-FPR,iSUN-AUROC,dtd-FPR,dtd-AUROC,AVG-FPR,AVG-AUROC
top5-palm-cache6-ema0.999,3.0308850645359557,99.23327097418563,67.80000000000001,82.615072,10.58,97.69988599999999,44.056022408963585,91.43364817927171,41.56028368794326,91.3615035460993,33.40543823228857,92.46867613991134
top5-palm-cache6-ema0.999,2.954056545789797,99.33499462200369,65.23,83.41673899999999,18.16,96.45512099999999,33.8375350140056,93.20012100840336,32.03900709219858,93.16434574468086,30.444119730398793,93.11426427501758
top5-palm-cache6-ema0.999,2.208819913952059,99.5285037645974,66.05,82.657038,13.600000000000001,96.94988400000003,47.596638655462186,90.40182969187676,38.40425531914894,91.09586170212765,33.571942777712636,92.12662343172036
top5-palm-cache6-ema0.999,2.954056545789797,99.33499462200369,65.23,83.41673899999999,18.16,96.45512099999999,33.8375350140056,93.20012100840336,32.03900709219858,93.16434574468086,30.444119730398793,93.11426427501758
top5-palm-cache6-ema0.999,2.954056545789797,99.33499462200369,65.23,83.41673899999999,18.16,96.45512099999999,33.8375350140056,93.20012100840336,32.03900709219858,93.16434574468086,30.444119730398793,93.11426427501758
top5-palm-cache6-ema0.999,2.208819913952059,99.5285037645974,66.05,82.657038,13.600000000000001,96.94988400000003,47.596638655462186,90.40182969187676,38.40425531914894,91.09586170212765,33.571942777712636,92.12662343172036
top5-palm-cache6-ema0.999,40.388752304855565,92.65692340196681,89.33,69.867509,85.24000000000001,81.30079800000001,95.41736694677871,63.1111887955182,76.18794326241135,76.55288120567376,77.31281250280912,76.69786008063176
top5-palm-cache6-ema0.999,40.388752304855565,92.65692340196681,89.33,69.867509,85.24000000000001,81.30079800000001,95.41736694677871,63.1111887955182,76.18794326241135,76.55288120567376,77.31281250280912,76.69786008063176
top5-palm-cache6-ema0.999,2.954056545789797,99.33499462200369,65.23,83.41673899999999,18.16,96.45512099999999,33.8375350140056,93.20012100840336,32.03900709219858,93.16434574468086,30.444119730398793,93.11426427501758
top5-palm-cache6-ema0.999,2.954056545789797,99.33499462200369,65.23,83.41673899999999,18.16,96.45512099999999,33.8375350140056,93.20012100840336,32.03900709219858,93.16434574468086,30.444119730398793,93.11426427501758
top5-palm-cache6-ema0.999,2.954056545789797,99.33499462200369,65.23,83.41673899999999,18.16,96.45512099999999,33.8375350140056,93.20012100840336,32.03900709219858,93.16434574468086,30.444119730398793,93.11426427501758
top5-palm-cache6-ema0.999,2.954056545789797,99.33499462200369,65.23,83.41673899999999,18.16,96.45512099999999,33.8375350140056,93.20012100840336,32.03900709219858,93.16434574468086,30.444119730398793,93.11426427501758
top5-palm-cache6-ema0.999,2.954056545789797,99.33499462200369,65.23,83.41673899999999,18.16,96.45512099999999,33.8375350140056,93.20012100840336,32.03900709219858,93.16434574468086,30.444119730398793,93.11426427501758
top5-palm-cache6-ema0.999,2.420098340503995,99.47769168715428,74.1,79.973401,22.08,96.24727299999999,44.17927170868347,90.76498039215687,40.93971631205674,90.84276773049645,36.74381727224884,91.46122276196151
top5-palm-cache6-ema0.999,2.1358328211432083,99.49646204671173,69.77,80.486634,17.169999999999998,96.448305,72.96358543417367,82.40890644257703,32.02127659574468,93.21790425531916,38.81213897021231,90.41164234892159
top5-palm-cache6-ema0.999,49.254763368162266,86.60264174861709,90.31,64.587328,99.53999999999999,50.040721,94.35294117647058,62.124906442577036,80.60283687943263,68.0479095744681,82.8121082848131,66.28070135313244
top5-palm-cache6-ema0.999,2.420098340503995,99.47769168715428,74.1,79.973401,22.08,96.24727299999999,44.17927170868347,90.76498039215687,40.93971631205674,90.84276773049645,36.74381727224884,91.46122276196151
top5-palm-cache6-ema0.999,2.1358328211432083,99.49646204671173,69.77,80.486634,17.169999999999998,96.448305,72.96358543417367,82.40890644257703,32.02127659574468,93.21790425531916,38.81213897021231,90.41164234892159
top5-palm-cache6-ema0.999,49.254763368162266,86.60264174861709,90.31,64.587328,99.53999999999999,50.040721,94.35294117647058,62.124906442577036,80.60283687943263,68.0479095744681,82.8121082848131,66.28070135313244
top5-palm-cache6-ema0.999,2.420098340503995,99.47769168715428,74.1,79.973401,22.08,96.24727299999999,44.17927170868347,90.76498039215687,40.93971631205674,90.84276773049645,36.74381727224884,91.46122276196151
top5-palm-cache6-ema0.999,49.254763368162266,86.60264174861709,90.31,64.587328,99.53999999999999,50.040721,94.35294117647058,62.124906442577036,80.60283687943263,68.0479095744681,82.8121082848131,66.28070135313244
top5-palm-cache6-ema0.999,19.341579594345422,96.1838721573448,91.73,53.62577199999999,91.97,75.519182,99.52941176470588,29.203969747899162,79.43262411347519,64.6557695035461,76.4007230945053,63.83771308175801
