Methods,SVHN-FPR,SVHN-AUROC,places365-FPR,places365-AUROC,LSUN-FPR,LSUN-AUROC,iSUN-FPR,iSUN-AUROC,dtd-FPR,dtd-AUROC,AVG-FPR,AVG-AUROC
top5-palm-cache6-ema0.999,11.082513829133374,98.1607959434542,55.17999999999999,90.100494,19.139999999999997,97.054932,61.781512605042025,90.85612100840336,45.0177304964539,90.7327074468085,38.44035138612586,93.38101007973322

top5-palm-cache6-ema0.999,11.082513829133374,98.1607959434542,55.17999999999999,90.100494,19.139999999999997,97.054932,61.781512605042025,90.85612100840336,45.0177304964539,90.7327074468085,38.44035138612586,93.38101007973322
top5-palm-cache6-ema0.999,1.9591272280270435,99.54284572833436,75.22,78.62941000000001,18.14,96.856438,68.11204481792717,83.3582700280112,21.595744680851066,95.84320567375886,37.005383345361054,90.84603388602088
top5-palm-cache6-ema0.999,11.082513829133374,98.1607959434542,55.17999999999999,90.100494,19.139999999999997,97.054932,61.781512605042025,90.85612100840336,45.0177304964539,90.7327074468085,38.44035138612586,93.38101007973322
top5-palm-cache6-ema0.999,1.1639520590043024,99.7755819760295,70.7,80.730134,14.649999999999999,97.13225800000001,86.18487394957984,72.4080112044818,19.00709219858156,96.26527836879433,38.34118364143314,89.26225270986112
top5-palm-cache6-ema0.999,1.1639520590043024,99.7755819760295,70.7,80.730134,14.649999999999999,97.13225800000001,86.18487394957984,72.4080112044818,19.00709219858156,96.26527836879433,38.34118364143314,89.26225270986112
top5-palm-cache6-ema0.999,1.1639520590043024,99.7755819760295,70.7,80.730134,14.649999999999999,97.13225800000001,86.18487394957984,72.4080112044818,19.00709219858156,96.26527836879433,38.34118364143314,89.26225270986112
top5-palm-cache6-ema0.999,2.0167486170866624,99.54002612169639,57.67,87.00060199999999,13.33,97.39506300000001,86.59943977591037,82.53143977591037,36.04609929078014,92.83010815602837,39.13245753675543,91.85944781072702
top5-palm-cache6-ema0.999,2.811923786109404,99.47092309465275,54.93,89.088945,24.9,95.761944,86.07282913165267,81.66081344537815,34.9645390070922,92.68040780141843,40.73585838497086,91.73260666828988
top5-palm-cache6-ema0.999,8.58558696988322,98.43767593730793,35.82,92.72321400000001,3.1399999999999997,99.161799,31.226890756302524,94.62519887955182,17.109929078014186,96.56307269503546,19.176481360839986,96.30219210237904
top5-palm-cache6-ema0.999,3.188383527965581,99.3779963122311,70.44,82.621837,13.25,97.678358,58.26330532212886,86.66802240896358,46.71985815602837,89.51295035460993,38.37230940122456,91.17183281516093
top5-palm-cache6-ema0.999,3.034726490473264,99.23722034419177,82.31,68.083503,38.15,91.338319,82.64425770308124,71.00220168067226,45.21276595744681,88.85127836879431,50.27035003020026,83.70250447873167
top5-palm-cache6-ema0.999,16.42977873386601,97.17559426859252,72.24000000000001,82.676612,68.85,90.722113,58.621848739495796,88.40441456582633,29.734042553191493,94.13363652482268,49.17513400531065,90.62247407184832
top5-palm-cache6-ema0.999,10.594652735095266,98.1130942685925,39.12,91.70308700000001,4.21,99.037457,34.93557422969188,94.12862745098039,18.29787234042553,96.6056843971631,21.431619861042535,95.91759002334722
top5-palm-cache6-ema0.999,5.742931776275354,98.98913260602336,65.45,82.45566099999999,46.29,93.52418100000001,66.83473389355741,83.43175798319326,27.287234042553195,95.2020780141844,42.32097994247718,90.7205621206802
top5-palm-cache6-ema0.999,3.6762446220036873,99.24319913952058,29.439999999999998,93.766485,13.919999999999998,97.49033400000002,32.70588235294118,95.36866554621848,9.875886524822695,97.9698546099291,17.923602699953513,96.76770765913363
top5-palm-cache6-ema0.999,6.088660110633067,98.93048325138292,34.14,92.481362,2.87,99.19904500000001,25.3781512605042,95.74184985994397,11.578014184397164,97.8366560283688,16.010965111106884,96.83787922793915
top5-palm-cache6-ema0.999,4.333128457283344,99.27507337123541,62.06,86.28452500000002,27.37,96.00164100000002,64.54901960784314,84.73257478991597,28.936170212765955,94.16535106382979,37.44966365557848,92.09183304499624
top5-palm-cache6-ema0.999,3.203749231714813,99.28479448371235,30.769999999999996,94.12075100000001,10.190000000000001,98.48395,50.6218487394958,93.5506543417367,20.0531914893617,96.93722872340425,22.967757892114463,96.47547570977066
top5-palm-cache6-ema0.999,3.7223417332513833,99.28310809772589,34.339999999999996,92.898489,3.26,99.079521,27.170868347338935,95.56214901960784,9.02482269503546,98.33707269503546,15.503606555125154,97.03206796247385
top5-palm-cache6-ema0.999,3.6301475107559926,99.35424976951445,34.4,92.47094000000001,2.64,99.26785299999999,18.095238095238095,96.53811652661065,9.663120567375886,98.18444858156029,13.685701234673992,97.16312157553708
top5-palm-cache6-ema0.999,8.10156730178242,98.45992547633682,55.720000000000006,88.714618,17.630000000000003,97.125942,68.42577030812325,88.77568515406162,31.98581560283688,94.60802836879434,36.37263064254851,93.53683979983856
top5-palm-cache6-ema0.999,2.869545175169023,99.46363206822373,33.48,93.297129,7.8,98.247081,17.613445378151262,96.7939036414566,11.808510638297873,97.4105585106383,14.714300238323633,97.04246084406371
top5-palm-cache6-ema0.999,4.30239704978488,98.9985414105716,39.86,92.670015,5.84,98.281271,37.703081232493,94.5370319327731,12.535460992907801,97.7208014184397,20.048187855037135,96.44153215235688
top5-palm-cache6-ema0.999,6.011831591886908,98.60285033804549,50.849999999999994,89.68557900000002,5.25,98.38073800000001,67.83193277310924,89.11611540616246,46.826241134751776,90.4026329787234,35.354001099949585,93.23758314458625
